product_name;generic_name;quantity;packaging_tags;brands;categories_tags;origins;manufacturing_places;labels_tags;purchase_places;stores;countries_fr;ingredients_text;traces_tags;additives_tags;pnns_groups_1;main_category_fr
Pâté au poulet;Biscuits sablés déclassés fourrage au cacao;1 kg;carton,boite;St Michel;en:sugary-snacks,en:biscuits-and-cakes,en:biscuits,fr:sables;;France,Avranches;en:green-dot;France;;France;Demerara Sugar, Sultanas (14%), Raisins (9.4%), Bread Rusk [Fortified Wheat Flour (_Wheat Flour_, Calcium Carbonate, Iron, Niacin (B3), Thiamin (B1)], Salt, Yeast), Cider, Currants (7.7%), Sherry (4.9%), Palm Oil, Cognac (4.1%), Glacé Cherries (4.1%) [Cherries, Glucose-Fructose Syrup, Colour (Anthocyanins), Acidity Regulator (Citric Acid)], Single Cream (from _Milk_), _Walnuts_ (2.6%), _Almonds_ (_Nut_) (2.3%), Fortified Wheat Flour (_Wheat Flour_, Calcium Carbonate, Iron, Niacin (B3), Thramin (B1)]. Brandy (1.5%), Rum (1.5%), Treacle, Candied Citrus Peel [Glucose Syrup, Orange Peel, Sugar, Lemon Peel, Acidity Regulator (Citric Acid)], _Barley Malt Extract_, Mixed Spice [Coriander, Cinnamon, Cloves, Fennel, Ginger, Nutmeg, Cardamom], Salt, Lemon Oil, Orange Oil;en:nuts,en:sesame-seeds,en:soybeans;en:e1400,en:e322,en:e503;Sugary snacks;Sablés
Thé de Noël aromatisé orange-cannelle;Pâté à la viande;1250 kg;frais;Kirkland Signature;en:meats,en:poultries,en:chickens,en:cooked-chicken;Québec;Brossard Québec;;Brossard Québec;Costco;Canada;Eau gazéifiée, sucre, colorant caramel E150d, acidifiant : acide phosphorique, arômes (dont : extraits naturels de végétaux, caféine);;;Fish Meat Eggs;Volailles
Sirops pour ganache macarons;;75 g;aluminium;Alice Délice;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-foods,en:hot-beverages,en:plant-based-beverages,en:herbal-teas,en:teas,en:black-teas,en:flavored-teas,en:flavored-black-teas,en:non-sugared-beverages;;France;;Lyon,France;Alice Délice;France;sugar, glucose syrup, flavourings, acids (lactic, citric), acidity regulators (e325, e332);en:eggs,en:gluten,en:milk,en:mustard,en:nuts,en:sesame-seeds,en:soybeans,en:sulphur-dioxide-and-sulphites;;Beverages;Thés
Mini Confettis;;4 x 5 cl;carton,bouteille,verre;Alice Délice;en:syrups,fr:sirops-pour-ganache;;;;Lyon,France;Alice Délice;France;carbonated water, sugar, colour (caramel e150d), phosphoric acid, natural flavourings including caffeine;;en:e330,en:e171,en:e211,en:e131;unknown;Sirops
Kochspeck;chicken feet;500 g;plastic;Thai import;en:chicken-feet;;Thailand;en:incorrect-data-on-label;Liverpool,United Kingdom;;Royaume-Uni;malted barley, water, hops, yeast;;;unknown;en:Chicken-feet
Luxury Christmas Pudding;;454g;plastic,bowl;Asda,Asda Extra Special;en:desserts,en:puddings,en:christmas-puddings;;United Kingdom;;Liverpool,United Kingdom;Asda;Royaume-Uni;Eau gazéifiée, sucre, acidifiants (acide citrique, acide malique), arômes (extraits naturels de citron et de citron vert), correcteur d'acidité (citrate de sodium);;en:e170,en:e375,en:e163,en:e330,en:e502;unknown;Desserts
Bonbon Vichy;;907g;plastic,bowl;Asda,Asda Extra Special;en:sugary-snacks,en:biscuits-and-cakes,en:desserts,en:cakes,en:puddings,en:christmas-puddings;;United Kingdom;;Liverpool,United Kingdom;Asda;Royaume-Uni;water, horseradish, mustard seed, sugar, vegetable oil, salt, food acid, whey protein, butter, modified corn starch, xanthan gum, sodium metabisulphite, color (paprika oleoresin);;en:e170,en:e375,en:e163,en:e330,en:e502;Sugary snacks;Gâteaux
Pepsi, Nouveau goût !;;19 g;emballage;;;;;;;;France;Farine de _blé_, huile de colza, sucre, _oeufs_ frais 18%, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium, carbonates de sodium, diphosphates (_blé_), sel, émulsifiants : mono et diglycérides d'acides gras, _lait_ écrémé en poudre, arôme.;;;;
Coca Cola;;34g;;;;;;;;;Royaume-Uni;Proteinmischung (_Sojaprotein_, _Weizenprotein_, _Molkenprotein_, _Wheyprotein_), _Milchprotein_, _Hühnereiweiss_, Kakaopulver (nur Sorte Schoko), Aroma, Pflanzenöl, Süßungsmittel Natriumsaccharin und Acesulfam-K.;;en:e325,en:e332;;
Diet Coke;;500ml;;;;;;;;;Royaume-Uni;Proteinmischung (_Sojaprotein_, _Weizenprotein_, _Molkenprotein_, _Wheyprotein_), _Milchprotein_, _Hühnereiweiss_, Kakaopulver (nur Sorte Schoko), Aroma, Pflanzenöl, Süßungsmittel Natriumsaccharin und Acesulfam-K.;;en:e150d,en:e338;;
BoFrost Nudelpfanne;;500ml;;;;;;;;;Royaume-Uni;Flat leaf parsley;;en:e150d,en:e950,en:e338,en:e330;unknown;
Sol;;;beutel;;;;;;;;France;Farine de _blé_, _œufs_ frais, huile de colza, sucre, raisins secs 13% (raisins, huile de colza, dextrose), sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (_blé_), sel, _lait_ écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme naturel d'orange.;;;;
Cauliflower;;33cl;;;;;;;;;Royaume-Uni;Fruits 37.4% [fruits confits 21,5% [fruits (pastèque, bigarreaux, écorce d’orange), sirop de glucose-fructose, sucre, conservateurs : sorbate de potassium - anhydride sulfureux, colorants : caramel ordinaire - E120, E133, correcteur d’acidité : acide citrique], raisins secs au rhum 15.9%, farine de blé, huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, émulsifiants : mono et diglycérides d’acides gras, lait écrémé en poudre, arôme naturel d’orange. ;en:gluten,yeast;;;
Acqua oligominerale San benedetto frizzante;Cauliflower;1;plastic,bag;Sainsbury's,by sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fresh-foods,en:fruits-and-vegetables-based-foods,en:fresh-plant-based-foods,en:vegetables-based-foods,en:fresh-vegetables,en:leaf-vegetables,en:cauliflowers;United Kingdom;;;Liverpool,United Kingdom;Sainsbury's;Royaume-Uni;Viandes de porc (86%), eau, acidifiant (E326), sel, dextrose, acidifiant (E263), exhausteur de goût (E621), antioxygène (E316), colorants (E120, E150c), arômes.;;;Fruits and vegetables;Légumes frais
Nutella;;500ml;;;;;;;;;Italie;100% Soja-Protein-Isolat (_Soja_), Aroma, Süßstoff Natrium-Saccharin.;;;;
Salsa de mostaza;;400g;;;;;;;;;Roumanie;Molkenproteinkonzentrat 99%(_Wheyproteinkonzentrat_), (nur Schoko Kakaopulver entölt), Aroma, Pflanzenöl aus Raps, Süßungsmittel Acesulfam-K und Sucralose.;;;;
Horseradish cream;Boisson gazeuse aux extraits naturels de citron et de citron vert;33 cl;canette;7Up,Pepsico;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:sodas,en:fruit-sodas,en:lemon-soft-drinks,en:sugared-beverages;;;;Courrières,France;Cora Cafétéria;France;Molkenproteinkonzentrat 99%(_Wheyproteinkonzentrat_), (nur Schoko Kakaopulver entölt), Aroma, Pflanzenöl aus Raps, Süßungsmittel Acesulfam-K und Sucralose.;;en:e330,en:e296,en:e331;Beverages;Sodas aux fruits
Madeleines nature;;175g;;;;;;;;;Australie;Sucre, blanc d’_œufs_ frais, poudre d’_amande_ 16.5%, _beurre_ pâtissier, farine de _blé_, pépites au citron 7% (sucre, pomme, pulpe de citron 18.1%*, dextrose, fibres d’ananas, gélifiant : alginate de sodium, correcteurs d’acidité : acide citrique - citrates de potassium, stabilisant : phosphates de calcium, arôme naturel de citron, colorant : curcumine), _œufs_ frais, sirop de glucose-fructose, stabilisant : glycérol, poudre de citron 0.9 % (équivalent à 5% de jus de citron) (jus concentré de citron, maltodextrine), sel, poudres à lever : carbonates de sodium - diphosphates (_blé_), arôme naturel de citron. *% exprimé sur les pépites équivalent à 1.2% sur l’ensemble du produit.;en:peanuts;en:e415,en:e223,en:e160c;;
Spring Onions;;880 g;carton,plastique;Bijou;en:sugary-snacks,en:biscuits-and-cakes,en:desserts,en:cakes,en:madeleines;;;;Lyon,France;M2I;France;Molkenproteinkonzentrat 99%(_Wheyproteinkonzentrat_), (nur Schoko Kakaopulver entölt), Aroma, Pflanzenöl aus Raps, Süßungsmittel Acesulfam-K und Sucralose.;en:nuts,en:soybeans;en:e422,en:e503,en:e500,en:e450,en:e471;Sugary snacks;Gâteaux
Mehrkomponeneten Protein 90 C6 2,5kg Haselnuß;;6;elastic-band;Sainsbury's,by sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fresh-foods,en:fruits-and-vegetables-based-foods,en:fresh-plant-based-foods,en:vegetables-based-foods,en:fresh-vegetables,en:fresh-herbs;Germany;;;Liverpool,United Kingdom;Sainsbury's;Royaume-Uni;sugar, corn syrup, white grape juice from concentrate, gelatin, citric acid, tartaric acid, fumaric acid, sorbitol, natural & artificial flavours, silicon dioxide (anticaking agent), artificial colours (fd&c red 40, yellow 6, blue 1, yellow 5);;;Fruits and vegetables;Légumes frais
Mehrkomponeneten Protein 90 C6 2,5kg Banane;Mehrkomponeneten Protein in Haselnuß Geschmack;2,5 kg;bucket;allfitnessfactory.de;en:proteinpulver,en:proteinshakes;Germany;Germany;;Germany;allfitnessfactory.de;en:Deutschland;sugar, corn syrup, modified corn starch, citrict acid, sodium citrate, natural and artificial flavours, mineral oil, carnauba wax, red 40, yellow 6, yellow 5, blue 1.;en:gluten,en:milk,en:nuts;;unknown;en:Proteinpulver
Flat Leaf Parsley;Mehrkomponeneten Protein in Bananen Geschmack;2,5 kg;bucket;allfitnessfactory.de;en:proteinpulver,en:proteinshakes;Germany;Germany;;Germany;allfitnessfactory.de;en:Deutschland;Pâtisseries fourrées à la pulpe de pêche : farine de blé, fourrage pêche 20% (sirop de glucose-fructose, purée de pêche 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe d'abricot : farine de blé, fourrage abricot 20% (sirop de glucose-fructose, purée d'abricot 50%*, sucre, gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arômes, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *% exprimé sur le fourrage équivalent à 10% sur l’ensemble du produit. Pâtisseries fourrées à la pulpe de fruits rouges : farine de blé, fourrage fruits rouges 20% (sirop de glucose-fructose, purée de fraise 17.8%*, sucre, purée de framboise concentrée 5%* (équivalent à 21.2%* de purée de framboise), purée de cerise concentrée 3%* (équivalent à 11%* de purée de cerise), gélifiant : pectines, correcteurs d’acidité : acide citrique - citrates de sodium, arôme, conservateur : sorbate de potassium), huile de colza, œufs frais, sucre, sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d’ammonium - carbonates de sodium - diphosphates (blé), sel, lait écrémé en poudre, émulsifiants : mono et diglycérides d’acides gras, arôme. *soit un équivalent de 50% de purée de fruits sur le fourrage équivalent à 10% sur l’ensemble du produit.;en:gluten,en:milk,en:nuts;;unknown;en:Proteinpulver
Cakes Raisins;;25 g;film-plastic;Cook with M&S,Marks & Spencer;en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:culinary-plants,en:aromatic-plants,en:aromatic-herbs,en:parsley,en:flat-parsley;;;;Southampton,United Kingdom;Marks & Spencer;Royaume-Uni;Sugar, Dextrose, Glucose, Peppermint Flavouring, Gelling Agent: Beef Gelatine, Menthol;;;unknown;Condiments
Cakes aux Fruits;Pâtisseries aux raisins secs.;900 g;boite,carton,plastique,sachet;Bijou;en:sugary-snacks,en:biscuits-and-cakes,en:desserts,en:cakes,fr:cakes-aux-raisins;;France;en:green-dot,en:made-in-france;France,Nantes;Correspondance;France;Farine de _blé_ contient _gluten_ (avec farine de _blé_, carbonate de calcium, fer, niacine, thiamine), beurre (_lait_) (23 %), gingembre confit cristallisé (18 %) (gingembre confit, sucre), sucre, flocons d'_avoine_ (contiennent _gluten_) (12 %), sirop de sucre inverti, gingembre moulu, poudre à lever : E503, bicarbonate de soude, E450, _lait_ en poudre écrémé, sel.;en:nuts,en:soybeans;en:e422,en:e503,en:e500,en:e450,en:e471;Sugary snacks;Gâteaux
Chair à saucisse;Pâtisseries aux fruits confits et aux raisins secs au rhum;600 g;boite,carton,sachet,plastique;Bijou;en:sugary-snacks,en:biscuits-and-cakes,en:desserts,en:cakes,en:pastries,en:fruit-cakes;;France,Limousin,87500,Saint-Yrieux;en:green-dot,en:made-in-france;Nantes,France;Catalogue Bijou;France;Large flat mushrooms;en:nuts,en:soybeans;en:e202,en:e220,en:e150a,en:e120,en:e133,en:e330,en:e422,en:e503,en:e500,en:e450,en:e471;Sugary snacks;Pâtisseries
100% Soja Protein Haselnuss 2kg;;792 g;barquette,plastique;Sovivo;en:meats,en:pork;France;France;;;;France;Proteinmischung (_Sojaprotein_, _Weizenprotein_, _Molkenprotein_, _Wheyprotein_), _Milchprotein_, _Hühnereiweiss_, Kakaopulver (nur Sorte Schoko), Aroma, Pflanzenöl, Süßungsmittel Natriumsaccharin und Acesulfam-K.;;en:e326,en:e263,en:e621,en:e316,en:e120,en:e150c;Fish Meat Eggs;Viandes
Whey Protein aus Molke 2000 Gramm Vanilla;100% Soja Protein Haselnuss Geschmack 2kg;2 kg;bucket;allfitnessfactory.de;en:vegan;Germany;Germany;en:vegetarian,en:vegan;Germany;allfitnessfactory.de;en:Deutschland;Farine de _blé_, fourrage lait et caramel 17% (sirop de glucose-fructose, _lait_ concentré sucré 20%*, stabilisant : glycérol, caramel 2.5%*, sel, arôme, gélifiant : pectines, conservateur : sorbate de potassium), huile de colza, _œufs_ frais, sucre, chocolat au lait 11% (sucre, beurre de cacao, poudre de _lait_ entier, pâte de cacao, émulsifiant : lécithines (_soja_), arôme), sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates (_blé_), sel, émulsifiants : mono et diglycérides d’acides gras, _lait_ écrémé en poudre, arôme. *% exprimés sur le fourrage équivalent respectivement à 3.4% et 0.4% sur l’ensemble du produit. ;en:gluten,en:milk,en:nuts;;unknown;en:Vegan
Financiers aux Amandes;Whey Protein aus Molke 2000 Gramm Vanille Geschmack;2000g;can;allfitnessfactory.de;en:proteinpulver,en:proteinshakes;Germany;Germany;;Germany;allfitnessfactory.de;en:Deutschland;Crust: _Wheat_  Flour, Water, Olive Oil, Salt, Yeast, Malted Flour. Toppings: Tomato Sauce (Imported Italian Tomatoes, Olive Oil, Basil, Garlic, Salt, Pepper), Low Moisture Mozzarella Cheese (Pasteurized Whole _Milk_ ,Cheese Cultures, Salt, Enzymes), Cooked Italian Sausage (Pork, Water, Salt, Spices, Dextrose, Flavorings, Garlic Powder, Paprika), Uncured Pepperoni with no nitrate or nitrate added (Pork, Salt, Spices, Water, Dextrose, Paprika, Natural Flavoring, Dehydrated Garlic, Oleoresin Paprika, Lactic Acid Starter Culture), Roasted Red Peppers, Roasted Yellow Peppers, Roasted Green Peppers, Roasted Onions, Romano Cheese (Pasteurized Cow's _Milk_, Salt, Enzymes) Parmesan Cheese (Pasteurized Cultured Milk, Enzymes, Salt) Parsley;en:gluten,en:milk,en:nuts;;unknown;en:Proteinpulver
Whey Protein aus Molke 1000 Gramm Vanilla;Pâtisseries fondantes à la poudre d'amande.;660 g (30 pâtisseries);boite-carton,sachet-plastique;Bijou;en:sugary-snacks,en:biscuits-and-cakes,en:desserts,en:cakes,en:pastries,fr:financiers;;France,87500;en:green-dot,en:made-in-france;France,Nantes;Correspondance;France;"Porc d’origine britannique (élaboré avec 120 g de porc cru pour 100 g de jambon rôti au miel)""; Sucre; Miel (2%); Sels de salaison (Sel, Conservateur: Nitrite de sodium);"" Sirop de sucre caramélisé.  ";en:nuts,en:soybeans;en:e422,en:e500,en:e450;Sugary snacks;Pâtisseries
Fondants Citron;Whey Protein aus Molke 1000 Gramm Vanille Geschmack;1000g;bag;allfitnessfactory.de;en:proteinpulver,en:proteinshakes;Germany;Germany;;Germany;allfitnessfactory.de;en:Deutschland;100% Soja-Protein-Isolat (_Soja_);en:gluten,en:milk,en:nuts;;unknown;en:Proteinpulver
Whey Protein aus Molke 500 Gramm Vanilla;Pâtisseries fondantes à la poudre d’amande et aux pépites au citron.;660 g (30 étuis individuels);boite-carton,sachet-plastique;Bijou;en:sugary-snacks,en:biscuits-and-cakes,en:desserts,en:cakes,en:pastries,fr:gateaux-au-citron;;87500,France;en:green-dot,en:made-in-france;Nantes,France;Correspondance;France;eau, légumes 38% (jus de tomates à base de concentré, carotte, pomme de terre, oignon, poireau, potiron 3%, céleri, petit pois), lait écrémé reconstitué, amidon transformé de maïs, huile de colza, sucre, beurre de cuisine, sel, arôme, vitamine A (bêta-carotène);en:nuts,en:soybeans;en:e401,en:e330,en:e332,en:e341,en:e100,en:e422,en:e500,en:e450;Sugary snacks;Pâtisseries
Sea Salt Potato Chips;Whey Protein aus Molke 500 Gramm Vanille Geschmack;500g;bag;allfitnessfactory.de;en:proteinpulver,en:proteinshakes;Germany;Germany;;Germany;allfitnessfactory.de;en:Deutschland;beef braising steak  ;en:gluten,en:milk,en:nuts;;unknown;en:Proteinpulver
Beignets framboises;;;;Trader Joe's;en:chips-and-fries,en:chips;;;;;;États-Unis;COOKED ELBOW MACARONI (WATER, ENRICHED SEMOLINA [DURUM _WHEAT_, SEMOLINA, NIACIN, FERROUS SULFATE, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID]), _MILK_, CHEDDAR CHEESE (PASTEURIZED COW'S _MILK_, CHEESE CULTURE, SALT RENNET, CALCIUM CHLORIDE), IMPORTED GOUDA CHEESE (PASTEURIZED COW'S MILK, CHEESE CULTURES, RENNET, SALTS, CAROTENE [COLOR]), IMPORTED SWISS CHEESE (PART SKIM COW'S _MILK_, CHEESE CULTURES, SALT, ENZYMES), UNBLEACHED FLOUR (UNBLEACHED _WHEAT_ FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), BUTTER (PASTEURIZED CREAM, SALT, ANNATTO [COLOR]), MODIFIED RICE STARCH, SALT, SPICES;;;unknown;Chips et frites
Sour Fruit Gummies;;;;Intermarché;;;;;;;France;iceberg lettuce;;;;
Jelly Fish;;3.5 oz;;Candy Crush;en:sugary-snacks,en:confectioneries,en:candies;;;;;;Allemagne;DISTILLED WHITE VINEGAR, WATER, MUSTARD SEED, MUSTARD BRAN, SALT, TURMERIC, PAPRIKA.;;en:e428,en:e330,en:e334,en:e297,en:e420,en:e551,en:e129,en:e110,en:e133,en:e102;Sugary snacks;Bonbons
Color bombe;;3 oz;;Candy Crush;en:sugary-snacks,en:confectioneries,en:candies;;;;;;Allemagne;papaya;;en:e331,en:e905a,en:e903,en:e129,en:e110,en:e102,en:e133;Sugary snacks;Bonbons
Mixed peppers;Confiserie;80g;carton-et-plastique;Candy crush;en:sugary-snacks,en:confectioneries,en:candies;Canada;;;;;États-Unis;Fortified British Wheat Flour (_wheat_ flour, calcium carbonate, niacin, iron, thiamin);;;Sugary snacks;Bonbons
Spring onions;;;;;en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices,en:peppers,en:mixed-peppers;;;;;;Royaume-Uni;Sunflower oil.;;;unknown;Epices
